fecha,ccpudis
Ago 1975,N/E
Sep 1975,N/E
Oct 1975,N/E
Nov 1975,N/E
Dic 1975,N/E
Ene 1976,N/E
Feb 1976,N/E
Mar 1976,N/E
Abr 1976,N/E
May 1976,N/E
Jun 1976,N/E
Jul 1976,N/E
Ago 1976,N/E
Sep 1976,N/E
Oct 1976,N/E
Nov 1976,N/E
Dic 1976,N/E
Ene 1977,N/E
Feb 1977,N/E
Mar 1977,N/E
Abr 1977,N/E
May 1977,N/E
Jun 1977,N/E
Jul 1977,N/E
Ago 1977,N/E
Sep 1977,N/E
Oct 1977,N/E
Nov 1977,N/E
Dic 1977,N/E
Ene 1978,N/E
Feb 1978,N/E
Mar 1978,N/E
Abr 1978,N/E
May 1978,N/E
Jun 1978,N/E
Jul 1978,N/E
Ago 1978,N/E
Sep 1978,N/E
Oct 1978,N/E
Nov 1978,N/E
Dic 1978,N/E
Ene 1979,N/E
Feb 1979,N/E
Mar 1979,N/E
Abr 1979,N/E
May 1979,N/E
Jun 1979,N/E
Jul 1979,N/E
Ago 1979,N/E
Sep 1979,N/E
Oct 1979,N/E
Nov 1979,N/E
Dic 1979,N/E
Ene 1980,N/E
Feb 1980,N/E
Mar 1980,N/E
Abr 1980,N/E
May 1980,N/E
Jun 1980,N/E
Jul 1980,N/E
Ago 1980,N/E
Sep 1980,N/E
Oct 1980,N/E
Nov 1980,N/E
Dic 1980,N/E
Ene 1981,N/E
Feb 1981,N/E
Mar 1981,N/E
Abr 1981,N/E
May 1981,N/E
Jun 1981,N/E
Jul 1981,N/E
Ago 1981,N/E
Sep 1981,N/E
Oct 1981,N/E
Nov 1981,N/E
Dic 1981,N/E
Ene 1982,N/E
Feb 1982,N/E
Mar 1982,N/E
Abr 1982,N/E
May 1982,N/E
Jun 1982,N/E
Jul 1982,N/E
Ago 1982,N/E
Sep 1982,N/E
Oct 1982,N/E
Nov 1982,N/E
Dic 1982,N/E
Ene 1983,N/E
Feb 1983,N/E
Mar 1983,N/E
Abr 1983,N/E
May 1983,N/E
Jun 1983,N/E
Jul 1983,N/E
Ago 1983,N/E
Sep 1983,N/E
Oct 1983,N/E
Nov 1983,N/E
Dic 1983,N/E
Ene 1984,N/E
Feb 1984,N/E
Mar 1984,N/E
Abr 1984,N/E
May 1984,N/E
Jun 1984,N/E
Jul 1984,N/E
Ago 1984,N/E
Sep 1984,N/E
Oct 1984,N/E
Nov 1984,N/E
Dic 1984,N/E
Ene 1985,N/E
Feb 1985,N/E
Mar 1985,N/E
Abr 1985,N/E
May 1985,N/E
Jun 1985,N/E
Jul 1985,N/E
Ago 1985,N/E
Sep 1985,N/E
Oct 1985,N/E
Nov 1985,N/E
Dic 1985,N/E
Ene 1986,N/E
Feb 1986,N/E
Mar 1986,N/E
Abr 1986,N/E
May 1986,N/E
Jun 1986,N/E
Jul 1986,N/E
Ago 1986,N/E
Sep 1986,N/E
Oct 1986,N/E
Nov 1986,N/E
Dic 1986,N/E
Ene 1987,N/E
Feb 1987,N/E
Mar 1987,N/E
Abr 1987,N/E
May 1987,N/E
Jun 1987,N/E
Jul 1987,N/E
Ago 1987,N/E
Sep 1987,N/E
Oct 1987,N/E
Nov 1987,N/E
Dic 1987,N/E
Ene 1988,N/E
Feb 1988,N/E
Mar 1988,N/E
Abr 1988,N/E
May 1988,N/E
Jun 1988,N/E
Jul 1988,N/E
Ago 1988,N/E
Sep 1988,N/E
Oct 1988,N/E
Nov 1988,N/E
Dic 1988,N/E
Ene 1989,N/E
Feb 1989,N/E
Mar 1989,N/E
Abr 1989,N/E
May 1989,N/E
Jun 1989,N/E
Jul 1989,N/E
Ago 1989,N/E
Sep 1989,N/E
Oct 1989,N/E
Nov 1989,N/E
Dic 1989,N/E
Ene 1990,N/E
Feb 1990,N/E
Mar 1990,N/E
Abr 1990,N/E
May 1990,N/E
Jun 1990,N/E
Jul 1990,N/E
Ago 1990,N/E
Sep 1990,N/E
Oct 1990,N/E
Nov 1990,N/E
Dic 1990,N/E
Ene 1991,N/E
Feb 1991,N/E
Mar 1991,N/E
Abr 1991,N/E
May 1991,N/E
Jun 1991,N/E
Jul 1991,N/E
Ago 1991,N/E
Sep 1991,N/E
Oct 1991,N/E
Nov 1991,N/E
Dic 1991,N/E
Ene 1992,N/E
Feb 1992,N/E
Mar 1992,N/E
Abr 1992,N/E
May 1992,N/E
Jun 1992,N/E
Jul 1992,N/E
Ago 1992,N/E
Sep 1992,N/E
Oct 1992,N/E
Nov 1992,N/E
Dic 1992,N/E
Ene 1993,N/E
Feb 1993,N/E
Mar 1993,N/E
Abr 1993,N/E
May 1993,N/E
Jun 1993,N/E
Jul 1993,N/E
Ago 1993,N/E
Sep 1993,N/E
Oct 1993,N/E
Nov 1993,N/E
Dic 1993,N/E
Ene 1994,N/E
Feb 1994,N/E
Mar 1994,N/E
Abr 1994,N/E
May 1994,N/E
Jun 1994,N/E
Jul 1994,N/E
Ago 1994,N/E
Sep 1994,N/E
Oct 1994,N/E
Nov 1994,N/E
Dic 1994,N/E
Ene 1995,N/E
Feb 1995,N/E
Mar 1995,N/E
Abr 1995,N/E
May 1995,N/E
Jun 1995,N/E
Jul 1995,N/E
Ago 1995,N/E
Sep 1995,N/E
Oct 1995,N/E
Nov 1995,6.62
Dic 1995,6.99
Ene 1996,7.15
Feb 1996,8.05
Mar 1996,8.32
Abr 1996,8.36
May 1996,8.30
Jun 1996,8.09
Jul 1996,8.11
Ago 1996,7.98
Sep 1996,7.77
Oct 1996,7.91
Nov 1996,7.71
Dic 1996,7.27
Ene 1997,6.61
Feb 1997,6.32
Mar 1997,6.42
Abr 1997,6.55
May 1997,6.78
Jun 1997,6.90
Jul 1997,7.20
Ago 1997,7.21
Sep 1997,7.05
Oct 1997,6.55
Nov 1997,5.76
Dic 1997,5.78
Ene 1998,5.52
Feb 1998,5.54
Mar 1998,5.60
Abr 1998,5.62
May 1998,5.76
Jun 1998,5.78
Jul 1998,5.72
Ago 1998,5.83
Sep 1998,5.84
Oct 1998,5.94
Nov 1998,6.13
Dic 1998,5.98
Ene 1999,5.33
Feb 1999,3.36
Mar 1999,3.33
Abr 1999,3.48
May 1999,3.77
Jun 1999,3.88
Jul 1999,3.87
Ago 1999,4.15
Sep 1999,4.24
Oct 1999,4.34
Nov 1999,4.63
Dic 1999,4.40
Ene 2000,4.35
Feb 2000,4.28
Mar 2000,3.91
Abr 2000,3.78
May 2000,3.81
Jun 2000,3.89
Jul 2000,3.87
Ago 2000,4.03
Sep 2000,4.11
Oct 2000,4.07
Nov 2000,4.31
Dic 2000,4.27
Ene 2001,4.49
Feb 2001,4.76
Mar 2001,4.68
Abr 2001,4.69
May 2001,4.78
Jun 2001,4.96
Jul 2001,5.47
Ago 2001,5.60
Sep 2001,5.77
Oct 2001,5.89
Nov 2001,5.96
Dic 2001,6.03
Ene 2002,6.17
Feb 2002,6.19
Mar 2002,6.46
Abr 2002,5.81
May 2002,5.78
Jun 2002,5.74
Jul 2002,5.73
Ago 2002,5.72
Sep 2002,5.59
Oct 2002,5.54
Nov 2002,5.50
Dic 2002,5.56
Ene 2003,5.51
Feb 2003,5.40
Mar 2003,5.44
Abr 2003,5.45
May 2003,5.50
Jun 2003,5.59
Jul 2003,5.70
Ago 2003,5.79
Sep 2003,6.14
Oct 2003,6.25
Nov 2003,6.26
Dic 2003,5.95
Ene 2004,5.50
Feb 2004,4.76
Mar 2004,4.79
Abr 2004,4.80
May 2004,5.29
Jun 2004,5.36
Jul 2004,4.49
Ago 2004,4.50
Sep 2004,4.48
Oct 2004,4.58
Nov 2004,4.74
Dic 2004,5.25
Ene 2005,5.46
Feb 2005,5.61
Mar 2005,5.63
Abr 2005,5.67
May 2005,5.69
Jun 2005,5.78
Jul 2005,5.56
Ago 2005,5.33
Sep 2005,5.32
Oct 2005,5.32
Nov 2005,5.32
Dic 2005,5.36
Ene 2006,5.40
Feb 2006,5.43
Mar 2006,5.43
Abr 2006,5.46
May 2006,5.48
Jun 2006,5.73
Jul 2006,6.59
Ago 2006,5.21
Sep 2006,5.15
Oct 2006,5.15
Nov 2006,5.12
Dic 2006,5.25
Ene 2007,5.34
Feb 2007,5.24
Mar 2007,5.25
